,epoch,batch_no,loss,global_batch
0,1,1,0.682818591594696,0
1,1,1000,0.6450331807136536,1
2,1,2000,0.5235219597816467,2
3,1,3000,0.6003279685974121,3
4,1,4000,0.5262401103973389,4
5,1,5000,0.3708218038082123,5
6,1,6000,0.41395190358161926,6
7,1,7000,0.3803446292877197,7
8,1,8000,0.3694412410259247,8
9,1,9000,0.36363473534584045,9
10,1,10000,0.3919820189476013,10
11,1,11000,0.3850042223930359,11
12,1,12000,0.3516339063644409,12
13,1,13000,0.32477515935897827,13
14,1,14000,0.313226580619812,14
15,1,15000,0.3286587595939636,15
16,1,16000,0.28656983375549316,16
17,1,17000,0.37715962529182434,17
18,1,18000,0.3150350749492645,18
19,2,19000,0.35966756939888,19
20,2,20000,0.2853427827358246,20
21,2,21000,0.28554055094718933,21
22,2,22000,0.31914982199668884,22
23,2,23000,0.3474925458431244,23
24,2,24000,0.22696487605571747,24
25,2,25000,0.3062412142753601,25
26,2,26000,0.2763974070549011,26
27,2,27000,0.24951356649398804,27
28,2,28000,0.27710241079330444,28
29,2,29000,0.26381680369377136,29
30,2,30000,0.2677991986274719,30
31,2,31000,0.1894213706254959,31
32,2,32000,0.2671373188495636,32
33,2,33000,0.2629214823246002,33
34,2,34000,0.24229764938354492,34
35,2,35000,0.24691642820835114,35
36,2,36000,0.23367847502231598,36
37,2,37000,0.22205360233783722,37
